"id","navisid","de","en","desc_de","synonym","desc_en","origindesc","fk_id_parent","gettyaat","gettyaatrelationtype","wikidata","wikidatarelationtype"
"5B404D",,,,,,,,,,,,
"B2400C",,,,,,,,,,,,
"B9264C",,,,,,,,,,,,
"5B8D56",,,,,,,,,,,,
"9A3D76",,,,,,,,,,,,
"5B285A",,,,,,,,,,,,
"77992B",,,,,,,,,,,,
"7DF8DF",,,,,,,,,,,,
"D7D139",,,,,,,,,,,,
"ECD832",,,,,,,,,,,,
"373F7A",,,,,,,,,,,,
"53E8DF",,,,,,,,,,,,
"4BD556",,,,,,,,,,,,
"1476B8",,,,,,,,,,,,
"249D28",,,,,,,,,,,,
"14A9ED",,,,,,,,,,,,
"46EB53",,,,,,,,,,,,
"4E62B3",,,,,,,,,,,,
"65F603",,,,,,,,,,,,
"C0EEC8",,,,,,,,,,,,
"042A76",,,,,,,,,,,,
"AE93BB",,,,,,,,,,,,
"4B4074",,,,,,,,,,,,
"1BC0F6",,,,,,,,,,,,
"D599D2",,,,,,,,,,,,
"A8E23B",,,,,,,,,,,,
"EA91C9",,,,,,,,,,,,
"B7B72F",,,,,,,,,,,,
"227DA9",,,,,,,,,,,,
"91018E",,,,,,,,,,,,
"8A26CD",,,,,,,,,,,,
"CF73B7",,,,,,,,,,,,
"33D019",,,,,,,,,,,,
"2B5BEB",,,,,,,,,,,,
"634F4F",,,,,,,,,,,,
"B048E3",,,,,,,,,,,,
"13E864",,,,,,,,,,,,
"9E14E6",,,,,,,,,,,,
"6CCF99",,,,,,,,,,,,
"1AB09B",,,,,,,,,,,,
"02DDAF",,,,,,,,,,,,
"051B13",,,,,,,,,,,,
"66A9FE",,,,,,,,,,,,
"668B9A",,,,,,,,,,,,
"D357D3",,,,,,,,,,,,
"177F78",,,,,,,,,,,,
"C52C01",,,,,,,,,,,,
"A4A399",,,,,,,,,,,,
"1C4284",,,,,,,,,,,,
"1091A2",,,,,,,,,,,,
"3502A1",,,,,,,,,,,,
"0867F6",,,,,,,,,,,,
"F3548B",,,,,,,,,,,,
"D777EA",,,,,,,,,,,,
"2F3176",,,,,,,,,,,,
"0F9CD1",,,,,,,,,,,,
"E0881E",,,,,,,,,,,,
"66DF13",,,,,,,,,,,,
"02616D",,,,,,,,,,,,
"325AB4",,,,,,,,,,,,
"8EB21E",,,,,,,,,,,,
"C8E75C",,,,,,,,,,,,
"E310D2",,,,,,,,,,,,
"9C9CE7",,,,,,,,,,,,
"E722CF",,,,,,,,,,,,
"92FA6D",,,,,,,,,,,,
"3A7E81",,,,,,,,,,,,
"42362E",,,,,,,,,,,,
"0A4113",,,,,,,,,,,,
"3D110D",,,,,,,,,,,,
"06C377",,,,,,,,,,,,
"ACE20D",,,,,,,,,,,,
"CBA992",,,,,,,,,,,,
"CB96F6",,,,,,,,,,,,
"1D5B8D",,,,,,,,,,,,
"A1E179",,,,,,,,,,,,
"627C00",,,,,,,,,,,,
"CF5A34",,,,,,,,,,,,
"EB2636",,,,,,,,,,,,
"B19191",,,,,,,,,,,,
"618BAE",,,,,,,,,,,,
"F73126",,,,,,,,,,,,
"48760D",,,,,,,,,,,,
"2DF869",,,,,,,,,,,,
"02A88A",,,,,,,,,,,,
"E62E35",,,,,,,,,,,,
"0A120F",,,,,,,,,,,,
"2DCA96",,,,,,,,,,,,
"23FAE9",,,,,,,,,,,,
"B0D844",,,,,,,,,,,,
"A48342",,,,,,,,,,,,
"3900B3",,,,,,,,,,,,
"3DB6DF",,,,,,,,,,,,
"DBE0E8",,,,,,,,,,,,
"8F956C",,,,,,,,,,,,
"8F264A",,,,,,,,,,,,
"C8CD1A",,,,,,,,,,,,
"E8B9F4",,,,,,,,,,,,
"1F325A",,,,,,,,,,,,
"9D8F7D",,,,,,,,,,,,
"E5119F",,,,,,,,,,,,
"9CC063",,,,,,,,,,,,
"F1D778",,,,,,,,,,,,
"4C6EFE",,,,,,,,,,,,
"F3674C",,,,,,,,,,,,
"7B14BC",,,,,,,,,,,,
"166EEE",,,,,,,,,,,,
"FCCB69",,,,,,,,,,,,
"692C1E",,,,,,,,,,,,
"20D47B",,,,,,,,,,,,
"F6F112",,,,,,,,,,,,
"AA52D3",,,,,,,,,,,,
"0A5A47",,,,,,,,,,,,
"4245A6",,,,,,,,,,,,
"ADE64A",,,,,,,,,,,,
"2E8C8A",,,,,,,,,,,,
"C759CE",,,,,,,,,,,,
"37F976",,,,,,,,,,,,
"F6F0A1",,,,,,,,,,,,
"BE92A1",,,,,,,,,,,,
"44FB86",,,,,,,,,,,,
"34DFEE",,,,,,,,,,,,
"B90AA2",,,,,,,,,,,,
"EA5C5A",,,,,,,,,,,,
"F17E09",,,,,,,,,,,,
"F968BB",,,,,,,,,,,,
"22D628",,,,,,,,,,,,
"8ED398",,,,,,,,,,,,
"CCF7EF",,,,,,,,,,,,
"D4CC9E",,,,,,,,,,,,
"9C4C61",,,,,,,,,,,,
"E935A7",,,,,,,,,,,,
"11DC4C",,,,,,,,,,,,
"541B91",,,,,,,,,,,,
"E21621",,,,,,,,,,,,
"F7C1EB",,,,,,,,,,,,
"EE65C8",,,,,,,,,,,,
"EA1DCB",,,,,,,,,,,,
"4EDF71",,,,,,,,,,,,
"FAC889",,,,,,,,,,,,
"B8645F",,,,,,,,,,,,
"EC6197",,,,,,,,,,,,
"398B46",,,,,,,,,,,,
"AAE910",,,,,,,,,,,,
"6A4BC6",,,,,,,,,,,,
"0473A5",,,,,,,,,,,,
"FC4DFD",,,,,,,,,,,,
"54C69D",,,,,,,,,,,,
"BA08D9",,,,,,,,,,,,
"50F3B2",,,,,,,,,,,,
"8A9395",,,,,,,,,,,,
"7E8399",,,,,,,,,,,,
"4CC06F",,,,,,,,,,,,
"BAD97A",,,,,,,,,,,,
"7355CD",,,,,,,,,,,,
"D86D83",,,,,,,,,,,,
